Date,Total_cases,Daily_cases,3_day _moving_average_cases,7_day_moving_average_cases,Currently_Infected,Total_Deaths,Daily_Deaths,3_day_moving_average_deaths,3_day_moving_average_deaths
4/5/2020,1308,83,137,119,1243,37,5,5,4
4/6/2020,1319,11,82,110,1253,38,1,4,4
4/7/2020,1462,143,79,117,1389,45,7,4,4
4/8/2020,1668,206,120,125,1581,52,7,5,4
4/9/2020,1892,224,191,142,1790,57,5,6,5
4/10/2020,2203,311,247,161,2073,69,12,8,6
4/11/2020,2511,308,281,184,2359,73,4,7,6
4/12/2020,2777,266,295,210,2605,83,10,9,7
4/13/2020,3102,325,300,255,2912,93,10,8,7
4/14/2020,3372,270,287,273,3155,98,5,8,8
4/15/2020,3764,392,329,299,3513,108,10,9,8
